company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,Industrials,2,Emerging Growth,0.4042
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2,Emerging Growth,1.3409
ADANIENT,Adani Enterprises Ltd,Industrials,2,Emerging Growth,1.3032
ADANIGREEN,Adani Green Energy Ltd,Energy,0,Value Cyclicals,2.4349
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,4,Defensive Leaders,1.1331
ADANIPOWER,Adani Power Ltd,Energy,2,Emerging Growth,1.0425
AMBUJACEM,Ambuja Cements Ltd,Materials,2,Emerging Growth,1.0623
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,2,Emerging Growth,0.5768
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2,Emerging Growth,0.3113
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2,Emerging Growth,1.3582
AXISBANK,Axis Bank Ltd,Financials,0,Value Cyclicals,1.3063
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2,Emerging Growth,0.4667
BAJFINANCE,Bajaj Finance Ltd,Financials,3,Turnaround Candidates,1.3388
BAJAJFINSV,Bajaj Finserv Ltd,Financials,3,Turnaround Candidates,0.828
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,4,Defensive Leaders,2.4537
BANKBARODA,Bank of Baroda,Financials,0,Value Cyclicals,1.4668
BEL,Bharat Electronics Ltd,Industrials,1,High Quality Compounders,0.7558
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2,Emerging Growth,2.2866
BPCL,Bharat Petroleum Corporation Ltd,Energy,2,Emerging Growth,1.0065
